Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/3/2025 2:15:32 PM	0.00	0.13	0.00	0.05	0.00	0.00	0.00	0.00	0.18	13.67	-0.94	29.10	0	133	0	2	0	0	0	0	135	24.97	0.44	3.80	3.80	-0.50	2.06	1.05	0.91	28.25	31.94
7/3/2025 2:15:36 PM	0.00	0.73	0.00	0.36	0.00	0.00	0.00	0.00	1.08	32.24	-0.94	29.12	0	727	0	11	0	0	0	0	738	58.83	2.41	2.50	6.66	-1.32	5.84	3.28	0.91	28.33	31.99
7/3/2025 2:15:38 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.58	-0.94	29.13	0	0	0	0	0	0	0	0	0	37.57	0.92	1.88	3.47	-2.87	0.25	-1.40	0.91	28.40	31.99
7/3/2025 2:15:41 PM	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	17.98	-0.94	29.11	462	0	0	0	0	0	0	0	462	32.84	0.24	-2.40	2.20	2.49	3.93	3.33	0.91	28.44	32.01
7/3/2025 2:15:44 PM	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92	16.37	-0.94	29.10	489	0	0	0	0	0	0	0	489	29.91	0.03	2.24	1.44	0.53	4.20	4.96	0.91	28.48	32.02
7/3/2025 2:15:46 PM	0.14	0.77	0.00	0.00	0.00	0.00	0.00	0.00	0.91	14.62	-0.94	29.11	73	770	0	0	0	0	0	0	843	26.71	-1.60	-2.55	8.28	0.22	3.55	1.86	0.91	28.56	32.02
7/3/2025 2:15:50 PM	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.53	17.63	-0.94	29.12	0	528	0	0	0	0	0	0	528	32.20	0.82	2.73	4.12	-0.35	4.59	-0.76	0.91	28.63	32.14
7/3/2025 2:15:52 PM	0.00	2.34	0.00	0.00	0.00	0.00	0.00	0.09	2.34	35.60	-0.94	29.11	0	2337	0	0	0	0	0	0	2337	64.95	1.94	2.62	12.28	4.05	8.89	0.87	0.91	28.66	32.12
7/3/2025 2:15:55 PM	0.00	2.20	0.00	0.00	0.00	0.00	0.00	0.00	2.20	46.34	-0.94	29.11	0	2204	0	0	0	0	0	0	2204	84.54	2.42	3.35	11.12	1.28	9.58	-5.76	0.91	28.70	32.15
7/3/2025 2:15:58 PM	0.00	0.83	0.00	0.00	0.00	0.00	0.00	0.00	0.83	26.42	-0.86	29.09	0	833	0	0	0	0	0	0	833	48.23	3.43	-2.01	4.99	2.50	5.91	-3.65	0.92	28.75	32.17
7/3/2025 2:16:00 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32.15	-0.79	29.10	0	0	0	0	0	0	0	0	0	58.67	-7.46	0.39	3.39	-1.16	2.08	1.47	0.92	28.83	32.23
7/3/2025 2:16:03 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35.09	-0.74	29.07	0	0	0	0	0	0	0	0	0	64.03	-7.78	-2.60	-2.21	0.36	3.44	0.92	0.93	28.85	32.17
7/3/2025 2:16:06 PM	5.77	0.91	4.16	0.00	0.00	0.00	0.00	0.07	10.83	49.99	-0.71	28.03	3058	905	1871	0	0	0	0	0	5834	91.20	14.18	-2.82	13.37	26.40	16.57	36.28	0.93	28.90	32.23
7/3/2025 2:16:09 PM	14.49	2.26	0.00	1.04	0.00	0.00	0.00	0.00	17.79	51.96	-0.68	26.52	7682	2263	0	31	0	0	0	0	9976	94.80	10.65	3.29	22.28	36.22	30.02	54.62	0.93	28.93	32.22
7/3/2025 2:16:11 PM	15.06	3.20	0.00	0.00	0.00	0.00	0.00	0.00	18.26	56.47	-0.66	26.22	7982	3200	0	0	0	0	0	0	11183	103.01	6.97	1.82	23.95	35.41	30.19	53.20	0.94	28.99	32.31
7/3/2025 2:16:14 PM	13.66	2.03	0.00	0.00	0.00	0.00	0.00	0.00	15.70	51.15	-0.62	26.37	7242	2032	0	0	0	0	0	0	9275	93.31	4.66	1.73	21.40	27.98	22.71	50.50	0.94	29.05	32.36
7/3/2025 2:16:17 PM	9.77	2.59	2.25	0.00	0.00	0.00	0.00	0.00	14.62	45.75	-0.60	26.60	5178	2594	1014	0	0	0	0	0	8787	83.46	11.38	6.53	24.28	26.25	19.81	45.47	0.94	29.04	32.31
7/3/2025 2:16:20 PM	14.53	1.48	0.00	0.00	0.00	0.00	0.00	0.00	16.01	49.15	-0.58	26.85	7701	1479	0	0	0	0	0	0	9180	89.68	6.53	-1.46	20.66	35.21	20.10	49.21	0.94	29.09	32.31
7/3/2025 2:16:23 PM	13.22	1.87	0.00	0.00	0.00	0.00	0.00	0.00	15.08	44.82	-0.55	27.05	7004	1866	0	0	0	0	0	0	8871	81.77	7.15	-0.60	22.92	29.20	18.52	47.00	0.95	29.14	32.38
7/3/2025 2:16:25 PM	13.70	1.41	0.00	0.00	0.00	0.00	0.00	0.00	15.11	42.68	-0.53	27.02	7261	1406	0	0	0	0	0	0	8667	77.87	1.05	2.70	23.20	29.13	16.39	49.77	0.95	29.18	32.39
7/3/2025 2:16:28 PM	12.96	1.52	0.00	0.00	0.00	0.00	0.00	0.00	14.48	45.83	-0.51	26.85	6869	1519	0	0	0	0	0	0	8389	83.62	0.52	-0.39	19.28	19.23	22.37	52.94	0.95	29.22	32.41
7/3/2025 2:16:31 PM	18.82	2.73	1.42	0.00	0.00	0.00	0.00	0.00	22.98	62.12	-0.48	26.61	9977	2731	640	0	0	0	0	0	13347	113.32	15.08	-2.29	35.86	41.67	24.73	74.62	0.95	29.20	32.46
7/3/2025 2:16:34 PM	13.90	0.82	0.00	0.31	0.00	0.00	0.00	0.00	15.03	43.06	-0.55	26.86	7366	817	0	9	0	0	0	0	8192	78.56	8.47	1.83	18.04	29.11	18.87	51.16	0.95	29.26	32.47
7/3/2025 2:16:36 PM	0.00	0.70	0.00	0.00	0.00	0.00	0.00	0.02	0.70	64.68	-0.91	27.37	0	702	0	0	0	0	0	0	702	117.99	4.16	0.49	4.50	4.95	4.59	-7.37	0.91	29.30	32.49
7/3/2025 2:16:39 PM	0.00	0.52	0.00	0.00	0.00	0.00	0.00	0.00	0.52	60.12	-0.93	27.49	0	515	0	0	0	0	0	0	515	109.68	1.05	2.37	4.21	-0.74	4.47	-0.22	0.91	29.30	32.47
7/3/2025 2:16:42 PM	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.21	63.94	-0.92	27.49	0	209	0	0	0	0	0	0	209	116.63	0.37	-0.07	2.28	-0.54	4.76	-0.66	0.91	29.32	32.51
7/3/2025 2:16:45 PM	0.00	0.59	0.00	0.00	0.00	0.00	0.00	0.00	0.59	65.57	-0.93	27.74	0	588	0	0	0	0	0	0	588	119.60	0.52	0.15	4.71	0.21	4.73	0.61	0.91	29.37	32.52
7/3/2025 2:17:39 PM	0.04	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.34	63.64	-0.90	28.27	21	304	0	0	0	0	0	0	325	116.09	0.30	0.49	3.80	0.73	3.49	0.39	0.91	29.25	32.52
7/3/2025 2:17:42 PM	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.04	0.20	63.48	-0.91	28.30	0	203	0	0	0	0	0	0	203	115.80	0.73	0.32	3.38	1.38	3.05	0.15	0.91	29.26	32.49
7/3/2025 2:17:45 PM	0.10	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.38	63.43	-0.90	28.31	53	284	0	0	0	0	0	0	337	115.70	0.39	-1.10	3.68	0.91	3.86	0.54	0.91	29.30	32.51
7/3/2025 2:17:48 PM	0.09	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.49	63.21	-0.90	28.32	50	391	0	0	0	0	0	0	442	115.31	0.76	-0.19	3.91	1.14	4.13	0.42	0.91	29.35	32.51
7/3/2025 2:17:50 PM	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.35	63.28	-0.90	28.35	0	346	0	0	0	0	0	0	346	115.43	0.77	0.39	3.94	0.95	3.46	-0.16	0.91	29.39	32.54
7/3/2025 2:17:53 PM	0.07	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.54	63.37	-0.91	28.39	35	478	0	0	0	0	0	0	512	115.59	0.20	0.56	4.33	1.11	4.25	0.43	0.91	29.44	32.52
7/3/2025 2:17:56 PM	0.06	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.28	63.74	-0.90	28.35	34	219	0	0	0	0	0	0	254	116.28	0.46	0.28	3.37	0.35	3.44	0.67	0.91	29.45	32.59
7/3/2025 2:17:58 PM	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.42	63.42	-0.90	28.33	0	421	0	0	0	0	0	0	421	115.69	0.71	-1.09	4.69	-0.82	3.98	-0.12	0.91	29.45	32.52
7/3/2025 2:18:01 PM	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.71	33.78	-0.90	28.31	374	0	0	0	0	0	0	0	374	61.64	-1.90	-0.98	3.24	2.80	2.68	2.72	0.91	29.50	32.57
7/3/2025 2:18:03 PM	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	51.13	-0.90	28.37	83	0	0	0	0	0	0	0	83	93.29	-5.09	-0.89	4.56	0.68	-2.08	2.34	0.91	29.52	32.60
7/3/2025 2:18:06 PM	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.13	47.12	-0.89	28.27	0	131	0	0	0	0	0	0	131	85.97	-4.84	-1.58	1.44	-2.28	7.31	-6.97	0.91	29.58	32.64
7/3/2025 2:18:09 PM	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.15	0.99	39.98	-0.89	28.17	0	994	0	0	0	0	0	0	994	72.94	0.12	2.40	6.32	4.83	5.59	-0.85	0.91	29.58	32.68
7/3/2025 2:18:12 PM	0.00	1.39	0.00	0.00	0.00	0.00	0.00	0.00	1.39	54.72	-0.82	28.15	0	1393	0	0	0	0	0	0	1393	99.82	-5.24	-1.10	6.63	0.60	10.36	-1.28	0.92	29.58	32.62
7/3/2025 2:18:15 PM	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	48.43	-0.75	28.19	58	0	0	0	0	0	0	0	58	88.36	-8.35	4.60	4.81	-2.54	1.45	3.78	0.93	29.60	32.64
7/3/2025 2:18:17 PM	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.38	35.20	-0.71	28.26	0	383	0	0	0	0	0	0	383	64.23	-1.44	3.12	7.56	-3.40	1.31	-5.53	0.93	29.65	32.67
7/3/2025 2:18:20 PM	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	37.93	-0.69	28.29	0	0	0	0	0	0	0	0	0	69.22	-1.69	-8.11	-3.17	0.24	-2.63	1.42	0.93	29.69	32.64
7/3/2025 2:18:23 PM	13.76	11.11	10.77	3.14	0.00	0.00	0.00	0.00	38.78	21.64	-0.66	27.17	7295	11113	4845	94	0	0	0	0	23346	39.50	37.60	12.93	81.12	30.07	74.74	136.03	0.94	29.66	32.62
