Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
7/3/2025 12:29:32 PM	0.06	1.90	0.00	0.00	0.00	0.00	0.00	0.00	1.97	51.71	-0.79	22.52	34	1902	0	0	0	0	0	0	1936	94.33	0.07	0.62	10.81	0.59	8.32	2.07	0.92	23.36	25.24
7/3/2025 12:29:35 PM	0.00	1.79	0.00	0.00	0.00	0.00	0.00	0.00	1.79	49.83	-0.81	22.73	0	1788	0	0	0	0	0	0	1788	90.91	-0.07	0.07	11.53	-0.55	7.13	-0.71	0.92	23.44	25.28
7/3/2025 12:29:37 PM	0.00	1.82	0.00	0.00	0.00	0.00	0.00	0.00	1.82	47.52	-0.81	22.83	0	1822	0	0	0	0	0	0	1822	86.70	-0.83	-0.18	10.87	1.75	7.60	0.98	0.92	23.47	25.29
7/3/2025 12:29:40 PM	0.00	2.21	0.00	0.00	0.00	0.00	0.00	0.00	2.21	47.13	-0.81	22.82	0	2213	0	0	0	0	0	0	2213	85.99	-0.49	0.39	12.56	2.81	8.52	-0.89	0.92	23.54	25.32
7/3/2025 12:29:42 PM	0.00	1.93	0.00	0.00	0.00	0.00	0.00	0.00	1.93	47.08	-0.81	22.95	0	1932	0	0	0	0	0	0	1932	85.89	0.26	2.84	10.91	2.02	7.57	0.71	0.92	23.60	25.39
7/3/2025 12:29:45 PM	0.23	1.97	0.00	0.00	0.00	0.00	0.00	0.00	2.20	46.44	-0.81	22.99	122	1973	0	0	0	0	0	0	2095	84.73	1.23	2.07	12.12	2.14	7.04	1.77	0.92	23.65	25.39
7/3/2025 12:29:48 PM	0.00	2.31	0.27	0.00	0.00	0.00	0.00	0.00	2.58	48.08	-0.81	23.08	0	2311	121	0	0	0	0	0	2432	87.72	2.99	2.21	12.33	3.14	9.11	1.64	0.92	23.73	25.47
7/3/2025 12:29:51 PM	0.00	1.62	0.00	0.00	0.00	0.00	0.00	0.00	1.62	47.00	-0.81	23.11	0	1617	0	0	0	0	0	0	1617	85.74	0.21	1.08	8.68	1.26	8.17	-0.84	0.92	23.75	25.40
7/3/2025 12:29:54 PM	0.49	2.06	0.00	0.00	0.00	0.00	0.00	0.00	2.55	48.40	-0.81	23.12	258	2062	0	0	0	0	0	0	2321	88.31	0.63	1.92	12.73	3.19	7.60	2.49	0.92	23.78	25.50
