Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/26/2025 10:39:24 AM	0.00	1.92	0.00	0.00	0.00	0.00	0.00	0.17	1.92	53.05	-0.78	24.28	0	1921	0	0	0	0	0	0	1921	96.77	-0.71	1.41	9.14	5.84	9.88	-0.07	0.92	23.96	24.67
6/26/2025 10:39:27 AM	0.00	2.31	0.00	0.00	0.00	0.00	0.00	0.15	2.31	51.65	-0.78	24.30	0	2311	0	0	0	0	0	0	2311	94.23	-0.34	1.22	11.97	5.95	9.71	-0.08	0.92	24.04	24.60
6/26/2025 10:39:30 AM	0.00	2.02	0.00	0.00	0.00	0.00	0.00	0.22	2.02	51.78	-0.78	24.27	0	2025	0	0	0	0	0	0	2025	94.46	-0.79	2.38	10.18	5.98	9.52	1.88	0.92	24.09	24.62
6/26/2025 10:39:33 AM	0.00	2.34	0.00	0.00	0.00	0.00	0.00	0.08	2.34	52.56	-0.78	24.28	0	2337	0	0	0	0	0	0	2337	95.88	0.91	1.80	11.55	4.29	9.98	0.56	0.92	24.14	24.60
6/26/2025 10:39:35 AM	0.00	1.67	0.00	0.00	0.00	0.00	0.00	0.09	1.67	53.79	-0.78	24.29	0	1672	0	0	0	0	0	0	1672	98.12	0.30	1.59	8.54	4.22	8.35	-0.48	0.92	24.18	24.70
6/26/2025 10:39:38 AM	0.12	1.99	0.00	0.00	0.00	0.00	0.00	0.00	2.11	53.64	-0.78	24.31	66	1987	0	0	0	0	0	0	2053	97.86	0.02	1.65	9.52	2.66	9.90	1.07	0.92	24.24	24.60
6/26/2025 10:39:41 AM	0.10	2.14	0.00	0.00	0.00	0.00	0.00	0.00	2.25	49.17	-0.77	24.29	54	2145	0	0	0	0	0	0	2198	89.70	0.49	1.12	11.07	2.32	9.47	1.27	0.92	24.29	24.75
6/26/2025 10:39:44 AM	0.01	2.26	0.00	0.00	0.00	0.00	0.00	0.00	2.28	48.28	-0.77	24.30	7	2263	0	0	0	0	0	0	2270	88.08	1.18	2.53	10.53	1.93	10.42	1.12	0.92	24.34	24.75
6/26/2025 10:39:46 AM	0.09	2.27	0.00	0.00	0.00	0.00	0.00	0.01	2.37	48.54	-0.78	24.32	49	2273	0	0	0	0	0	0	2323	88.56	1.58	1.11	12.40	3.11	8.70	0.88	0.92	24.40	24.75
