"Num","Date","Start","End","Gas","Slope","R2","Ta","Flux","Reservoir","Site","Date_real","Time"
1,"2001-12-31","19:07:01","19:11:00","CO2",0.312,0.99,28.25,1.814,"FCR","Control1",25-06-30,10:02:00
1,"2001-12-31","19:07:01","19:11:00","CH4",0.015,1,28.25,0.087,"FCR","Control1",25-06-30,10:02:00
